"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"103.80.16.0","","Hong Kong","","","POWER LINE DATACENTER","132839","22.2578","114.1657"
"103.80.124.0","","Hong Kong","","","Sun Network Hong Kong Limited - HongKong Backbone","136800","22.2578","114.1657"
"103.80.132.0","","South Korea","Seoul","Seoul","HDTIDC LIMITED","136038","37.5794","126.9754"
"103.80.144.0","","Hong Kong","","","Guochao Group limited","132742","22.2578","114.1657"
"103.80.220.0","","Hong Kong","","","FIL Asia Holdings Pte Limited","136049","22.2578","114.1657"
"103.80.252.0","","Hong Kong","","","","","22.2578","114.1657"
"103.81.247.0","","United States","California","Los Angeles","IPTELECOM ASIA","55799","34.0544","-118.2441"
"103.82.4.0","","United States","California","Los Angeles","IPTELECOM ASIA","55799","34.0544","-118.2441"
"103.82.16.0","","Hong Kong","","","Sun Network Hong Kong Limited - HongKong Backbone","136800","22.2578","114.1657"
"103.82.140.0","","Hong Kong","","","Ping Global Amsterdam POP ASN","132721","22.2578","114.1657"
"103.82.168.0","","Hong Kong","","","SAITEIDC Limited","133178","22.2578","114.1657"
"103.82.212.0","","Hong Kong","","","Dimension Network & Communication Limited","59371","22.2578","114.1657"
"103.82.216.0","","Hong Kong","","","","","22.2578","114.1657"
"103.83.16.0","","Hong Kong","","","Lockhart Road Municipal Services Building","138963","22.2578","114.1657"
"103.83.231.0","","Hong Kong","","","China Merchants Securities HK Co., Ltd","136223","22.2578","114.1657"
"103.84.32.0","","Hong Kong","","","HKBN Enterprise Solutions Limited","17444","22.2578","114.1657"
"103.84.44.0","","Hong Kong","","","","","22.2578","114.1657"
"103.84.84.0","","Hong Kong","","","Netsec Limited","45753","22.2578","114.1657"
"103.84.88.0","","Hong Kong","","","HK AISI CLOUD COMPUTING LIMITED","132813","22.2578","114.1657"
"103.84.108.0","","Hong Kong","","","Kaopu Cloud HK Limited","138915","22.2578","114.1657"
"103.84.220.0","","Hong Kong","","","New Media Group Limited","9253","22.2578","114.1657"
"103.85.72.0","","Hong Kong","","","","","22.2578","114.1657"
"103.85.188.0","","Hong Kong","","","POWER LINE DATACENTER","132839","22.2578","114.1657"
"103.85.212.0","","Hong Kong","","","","","22.2578","114.1657"
"103.85.252.0","","Hong Kong","","","Dimension Network & Communication Limited","59371","22.2578","114.1657"
"103.86.64.0","","Hong Kong","","","FEDERAL-ONLINE-GROUP-LLC","395776","22.2578","114.1657"
"103.86.72.0","","Hong Kong","","","ACT International Telecom Limited","135572","22.2578","114.1657"
"103.86.76.0","","Hong Kong","","","HGC Global Communications Limited","9304","22.2578","114.1657"
"103.87.8.0","","Hong Kong","","","TOPWAY GLOBAL LIMITED","132883","22.2578","114.1657"
"103.87.156.0","","Hong Kong","","","","","22.2578","114.1657"
"103.87.240.0","","Hong Kong","","","19 Chun Wang Street, Tseung Kwan O Industrial Estate, N.T. Hong Kong","135581","22.2578","114.1657"
"103.88.92.0","","Hong Kong","","","HK GALAXY TELECOM HOLDING CO.,LIMITED","137185","22.2578","114.1657"
"103.89.72.0","","Hong Kong","","","Netsec Limited","45753","22.2578","114.1657"
"103.89.128.0","","Hong Kong","","","","","22.2578","114.1657"
"103.89.137.0","","Hong Kong","","","HK AISI CLOUD COMPUTING LIMITED","132813","22.2578","114.1657"
"103.89.144.0","","Hong Kong","","","MTX Connect S. a r.l.","61327","22.2578","114.1657"
"103.90.51.0","","Hong Kong","","","ESUN TECHNOLOGY INTERNATIONAL CO., LIMITED","132168","22.2578","114.1657"
"103.90.56.0","","Hong Kong","","","ESUN TECHNOLOGY INTERNATIONAL CO., LIMITED","132168","22.2578","114.1657"
"103.90.76.0","","Hong Kong","","","Earth Network Technology HongKong Co., Limited","136493","22.2578","114.1657"
"103.90.80.0","","Hong Kong","","","Zhengzhou longling technology ltd.","133952","22.2578","114.1657"
"103.90.136.0","","Japan","Tokyo","Tokyo","Nerocloud Ltd","48024","35.6164","139.7425"
"103.90.172.0","","Hong Kong","","","SAITEIDC Limited","133178","22.2578","114.1657"
"103.90.203.0","","Hong Kong","","","Cloudie Limited","55933","22.2578","114.1657"
