"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"219.80.0.0","","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"219.84.0.0","219-84-0-0-adsl-KHH.dynamic.so-net.net.tw","Taiwan","Taichung City","Taichung","Sony Network Taiwan Limited","18182","24.144","120.6844"
"219.86.0.0","219-86-0-0.dynamic.tfn.net.tw","Taiwan","Changhua","Chang-hua","New Changhua Digital Cable TV CO,.Ltd","131597","24.0759","120.5657"
"219.90.0.0","","Taiwan","","","UUNET","703","24","121"
"219.91.0.0","NK219-91-0-0.adsl.dynamic.apol.com.tw","Taiwan","Taipei City","Taipei","Peicity Digital Cable Television., LTD","131627","25.0504","121.5324"
"220.128.0.0","220-128-0-0.hinet-ip.hinet.net","Taiwan","","","","","24","121"
"220.128.64.0","220-128-64-0.twgate-ip.twgate.net","Taiwan","","","Taiwan Internet Gateway","10126","24","121"
"220.128.128.0","220-128-128-0.hinet-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"220.129.0.0","220-129-0-0.dynamic-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"220.130.0.0","220-130-0-0.hinet-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"220.132.0.0","220-132-0-0.hinet-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"220.136.0.0","220-136-0-0.dynamic-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"220.157.112.0","","Taiwan","Kaohsiung","Kaohsiung City","Hoshin Multimedia Center Inc.","9416","22.6148","120.3139"
"220.158.228.0","","Taiwan","","","DongFong Technology Co. Ltd.","18046","24","121"
"220.228.0.0","","Taiwan","","","New Century InfoComm Tech Co., Ltd.","9919","24","121"
"221.120.0.0","221-120-0-0.emome-ip.hinet.net","Taiwan","","","","","24","121"
"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"221.120.64.0","221-120-64-0.emome-ip.hinet.net","Taiwan","","","","","24","121"
"221.169.0.0","221-169-0-0.static.seed.net.tw","Taiwan","","","Digital United Inc.","4780","24","121"
"222.156.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"222.157.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"222.250.0.0","","Taiwan","","","Asia Pacific Telecom","17709","24","121"
"222.251.0.0","","Taiwan","","","Asia Pacific Telecom","17709","24","121"
"223.22.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
